sold_date,price,beds,baths,area,lot_size,year_built,hoa_month,town,municipality,long,lat
2022-07-07,217000,4,2,1344,0.3,1962,,Dryden,Dryden village,-76.31154318538262,42.490082922974025
2022-08-24,185000,2,1,864,0.01999540863177227,1983,270,Ithaca,Unincorporated,-76.46388050569917,42.4231879806618
2022-06-21,180000,2,1,624,0.3399908172635445,1920,,Ithaca,Unincorporated,-76.45042819654437,42.4738187597015
2022-09-12,540000,4,3.5,3583,0.46000918273645547,1989,,Lansing,Lansing village,-76.47628534379773,42.48604852236622
2022-04-29,415000,,,1704,,1870,,Ithaca,Ithaca city,-76.49347559249026,42.45098434052617
2022-08-17,152000,2,2,980,1.6899908172635445,2011,,Groton,Unincorporated,-76.39891749084704,42.54814512227381
2022-08-11,318500,3,2,1433,0.8800045913682277,1956,,Ithaca,Unincorporated,-76.4508328198508,42.423811160662176
2022-12-09,383000,3,2.5,2257,0.18000459136822775,1925,,Ithaca,Ithaca city,-76.48773633593962,42.45283280148892
2022-02-10,385000,,,2972,,1900,,Ithaca,Ithaca city,-76.4903629807217,42.447199753223956
2022-08-26,530000,3,2,2051,20,1840,,Newfield,Unincorporated,-76.56678888009615,42.32650618587868
2022-06-30,405000,3,2,1508,5,2007,,Newfield,Unincorporated,-76.56827761462299,42.33800266242947
2022-07-01,370000,3,2,2034,0.7,1973,,Ulysses,Trumansburg village,-76.66476078707763,42.5351165040525
2022-07-19,282000,3,1,960,1.2300045913682278,1991,,Ulysses,Unincorporated,-76.64835713920111,42.519312482909825
2022-07-29,330000,3,2,1288,1.0399908172635446,2019,,Ulysses,Unincorporated,-76.61805318684846,42.51017829762354
