outcome,sex,year,name,Trump,Harris,part_diff
Harris,F,1993,Lissette,0.19424460431654678,0.8057553956834532,-0.6115107913669064
Harris,M,1993,Salvatore,0.19672131147540983,0.8032786885245902,-0.6065573770491803
Harris,F,1993,Emely,0.19696969696969696,0.803030303030303,-0.606060606060606
Harris,F,1993,Xiomara,0.19852941176470587,0.8014705882352942,-0.6029411764705883
Harris,F,1993,Lidia,0.20454545454545456,0.7954545454545454,-0.5909090909090908
Harris,M,2003,Moshe,0.018072289156626505,0.9819277108433735,-0.963855421686747
Harris,F,2003,Chaya,0.024822695035460994,0.975177304964539,-0.950354609929078
Harris,M,2003,Menachem,0.04054054054054054,0.9594594594594594,-0.9189189189189189
Harris,F,2003,Chana,0.05970149253731343,0.9402985074626866,-0.8805970149253732
Harris,F,2003,Simran,0.11965811965811966,0.8803418803418803,-0.7606837606837606
Harris,M,2003,Ronan,0.14130434782608695,0.8586956521739131,-0.7173913043478262
Harris,M,2003,Rahul,0.15966386554621848,0.8403361344537815,-0.680672268907563
Harris,M,2003,Eliezer,0.1724137931034483,0.8275862068965517,-0.6551724137931034
Harris,F,2003,Maeve,0.18658892128279883,0.8134110787172012,-0.6268221574344024
Harris,F,2003,Vicky,0.18811881188118812,0.8118811881188119,-0.6237623762376239
Harris,F,2003,Neha,0.19205298013245034,0.8079470198675497,-0.6158940397350994
Harris,M,2003,Dhruv,0.19626168224299065,0.8037383177570093,-0.6074766355140186
Harris,F,2003,Dina,0.21019108280254778,0.7898089171974523,-0.5796178343949046
Harris,M,2003,Matteo,0.211340206185567,0.788659793814433,-0.5773195876288659
Harris,F,2003,Gemma,0.21296296296296297,0.7870370370370371,-0.5740740740740742
Harris,M,2003,Siddharth,0.21296296296296297,0.7870370370370371,-0.5740740740740742
Harris,M,2003,Soren,0.21621621621621623,0.7837837837837838,-0.5675675675675675
Harris,F,2003,Jaylene,0.2183406113537118,0.7816593886462883,-0.5633187772925765
Harris,M,2003,Kian,0.22758620689655173,0.7724137931034483,-0.5448275862068965
Harris,F,2003,Maryam,0.23270440251572327,0.7672955974842768,-0.5345911949685536
Harris,M,2013,Chaim,0.018575851393188854,0.9814241486068112,-0.9628482972136223
Harris,M,2013,Moshe,0.024390243902439025,0.975609756097561,-0.9512195121951219
Harris,F,2013,Batsheva,0.03571428571428571,0.9642857142857143,-0.9285714285714286
Harris,M,2013,Zev,0.047244094488188976,0.952755905511811,-0.905511811023622
Harris,F,2013,Chana,0.05405405405405406,0.9459459459459459,-0.8918918918918919
Harris,M,2013,Yaakov,0.054878048780487805,0.9451219512195121,-0.8902439024390243
Harris,M,2013,Eliyahu,0.05714285714285714,0.9428571428571428,-0.8857142857142857
Harris,F,2013,Chaya,0.06951871657754011,0.93048128342246,-0.8609625668449199
Harris,M,2013,Yosef,0.07643312101910828,0.9235668789808917,-0.8471337579617835
Harris,F,2013,Dina,0.1016949152542373,0.8983050847457628,-0.7966101694915255
Harris,F,2013,Aditi,0.15254237288135594,0.847457627118644,-0.6949152542372881
Harris,M,2013,Eliezer,0.1761006289308176,0.8238993710691824,-0.6477987421383649
Harris,M,2013,Abdirahman,0.17647058823529413,0.8235294117647058,-0.6470588235294117
Harris,F,2013,Elodie,0.17699115044247787,0.8230088495575221,-0.6460176991150441
Harris,M,2013,Armaan,0.1984126984126984,0.8015873015873016,-0.6031746031746033
Harris,F,2013,Darlene,0.2,0.8,-0.6000000000000001
Harris,F,2013,Noa,0.20526315789473684,0.7947368421052632,-0.5894736842105264
Harris,F,2013,Violette,0.21296296296296297,0.7870370370370371,-0.5740740740740742
Harris,M,2013,Nikhil,0.21367521367521367,0.7863247863247863,-0.5726495726495726
Harris,F,2013,Shea,0.2214765100671141,0.7785234899328859,-0.5570469798657718
Harris,F,2023,Rivka,0.0169971671388102,0.9830028328611898,-0.9660056657223797
Harris,M,2023,Shimon,0.025380710659898477,0.9746192893401016,-0.9492385786802031
Harris,M,2023,Avraham,0.02631578947368421,0.9736842105263158,-0.9473684210526316
Harris,F,2023,Malka,0.02830188679245283,0.9716981132075472,-0.9433962264150944
Harris,M,2023,Moshe,0.02922077922077922,0.9707792207792207,-0.9415584415584415
Harris,M,2023,Yehuda,0.03169014084507042,0.9683098591549296,-0.9366197183098592
Harris,M,2023,Shlomo,0.035,0.965,-0.9299999999999999
Harris,M,2023,Menachem,0.04142011834319527,0.9585798816568047,-0.9171597633136095
Harris,M,2023,Tzvi,0.04216867469879518,0.95783132530120485,-0.9156626506024097
Harris,M,2023,Yaakov,0.04326923076923077,0.9567307692307693,-0.9134615384615385
Harris,M,2023,Shmuel,0.049107142857142856,0.9508928571428571,-0.9017857142857142
Harris,F,2023,Devorah,0.05128205128205128,0.9487179487179487,-0.8974358974358974
Harris,M,2023,Chaim,0.05555555555555555,0.9444444444444444,-0.8888888888888888
Harris,M,2023,Eliyahu,0.058333333333333334,0.9416666666666667,-0.8833333333333333
Harris,M,2023,Dov,0.06153846153846154,0.9384615384615385,-0.8769230769230769
Harris,F,2023,Chaya,0.07608695652173914,0.9239130434782609,-0.8478260869565217
Harris,F,2023,Mindy,0.07920792079207921,0.9207920792079208,-0.8415841584158417
Harris,M,2023,Meir,0.08056872037914692,0.919431279620853,-0.838862559241706
Harris,F,2023,Chana,0.08310991957104558,0.9168900804289544,-0.8337801608579087
Harris,M,2023,Zev,0.1179245283018868,0.8820754716981132,-0.7641509433962264
