GEOID,NAME,STUSPS,date,mort_adj
21,Kentucky,KY,2003,16.27331395108776
21,Kentucky,KY,2004,15.677379784042888
21,Kentucky,KY,2005,16.49635573984721
21,Kentucky,KY,2006,15.87964085466597
21,Kentucky,KY,2007,14.09551875267815
21,Kentucky,KY,2008,10.023595076596584
21,Kentucky,KY,2009,9.265534943343571
21,Kentucky,KY,2010,7.818852817914556
21,Kentucky,KY,2011,7.321285700133408
21,Kentucky,KY,2012,8.432346938659233
21,Kentucky,KY,2013,9.303579427380571
21,Kentucky,KY,2014,8.829538292122784
21,Kentucky,KY,2015,11.063130739563517
21,Kentucky,KY,2016,12.161324016858297
21,Kentucky,KY,2017,12.119607055406805
21,Kentucky,KY,2018,11.64803317359848
21,Kentucky,KY,2019,11.850606337391234
21,Kentucky,KY,2020,12.507674910341189
21,Kentucky,KY,2021,13.754547874700506
21,Kentucky,KY,2022,11.747591688290733
21,Kentucky,KY,2023,9.50033958190552
22,Louisiana,LA,2000,12.522683387430579
22,Louisiana,LA,2001,12.952572369706614
22,Louisiana,LA,2002,13.11907876494769
22,Louisiana,LA,2003,13.050088895436051
22,Louisiana,LA,2004,13.180330202419118
22,Louisiana,LA,2005,13.765593358254156
22,Louisiana,LA,2006,16.50140087596873
22,Louisiana,LA,2007,14.169546855606146
22,Louisiana,LA,2008,10.596119655892142
22,Louisiana,LA,2009,9.128052777065344
22,Louisiana,LA,2010,7.481348887204363
22,Louisiana,LA,2011,6.992634134019077
22,Louisiana,LA,2012,7.822571900843686
22,Louisiana,LA,2013,8.646704308652756
22,Louisiana,LA,2014,8.824913289845883
22,Louisiana,LA,2015,9.213631546445917
22,Louisiana,LA,2016,9.399006183264387
22,Louisiana,LA,2017,10.270294905099266
22,Louisiana,LA,2018,9.433052128332386
22,Louisiana,LA,2019,10.51889268260744
22,Louisiana,LA,2020,10.763525769387586
22,Louisiana,LA,2021,12.751113182986902
22,Louisiana,LA,2022,10.897940136742994
22,Louisiana,LA,2023,7.871004727194255
23,Maine,ME,2000,15.66082413520929
23,Maine,ME,2001,15.555825189858847
23,Maine,ME,2002,15.432575079477763
23,Maine,ME,2003,16.838714961121703
23,Maine,ME,2004,16.746746563872094
23,Maine,ME,2005,17.44026897444394
23,Maine,ME,2006,15.865592742322375
23,Maine,ME,2007,14.317578972751386
23,Maine,ME,2008,9.770696778450953
23,Maine,ME,2009,9.777450191412392
23,Maine,ME,2010,8.28530991954964
23,Maine,ME,2011,6.774695458620537
23,Maine,ME,2012,9.03550501696416
23,Maine,ME,2013,9.032451339550168
23,Maine,ME,2014,9.014307960310003
23,Maine,ME,2015,10.53345953421042
23,Maine,ME,2016,12.759429218192244
23,Maine,ME,2017,13.475646138516167
23,Maine,ME,2018,12.68540275780656
23,Maine,ME,2019,13.375242426268978
23,Maine,ME,2020,14.813267651304567
23,Maine,ME,2021,15.230778938298663
23,Maine,ME,2022,12.955810609081448
23,Maine,ME,2023,10.747125860307424
24,Maryland,MD,2000,19.958448769109744
24,Maryland,MD,2001,21.582636099452042
24,Maryland,MD,2002,21.68962550288224
24,Maryland,MD,2003,20.74134290006548
24,Maryland,MD,2004,21.092729588502483
24,Maryland,MD,2005,23.245920922026208
